date,time,kg,m/s,kj,datetime,timediv h
2019-01-01,09:00,38.0,45.4,39.16203999999999,2019-01-01 09:00:00,48.5
2019-01-03,06:00,187.0,41.6,161.80736000000002,2019-01-03 06:00:00,45.0
2019-01-04,10:00,36.0,44.6,35.804880000000004,2019-01-04 10:00:00,28.0
2019-01-07,14:00,6.0,41.2,5.092320000000001,2019-01-07 14:00:00,76.0
2019-01-11,06:00,65.0,39.6,50.9652,2019-01-11 06:00:00,88.0
2019-01-11,16:00,58.0,33.2,31.964960000000005,2019-01-11 16:00:00,10.0
2019-01-14,11:00,365.0,40.2,294.92730000000006,2019-01-14 11:00:00,67.0
2019-01-16,02:00,22.0,46.5,23.78475,2019-01-16 02:00:00,39.0
2019-01-18,06:00,146.0,36.2,95.66212000000003,2019-01-18 06:00:00,52.0
2019-01-19,17:00,29.0,38.3,21.269904999999998,2019-01-19 17:00:00,35.0
2019-01-20,22:00,40.0,41.6,34.611200000000004,2019-01-20 22:00:00,29.0
2019-01-21,11:00,304.0,36.7,204.72728000000004,2019-01-21 11:00:00,13.0
2019-01-22,21:00,33.0,44.1,32.089365,2019-01-22 21:00:00,34.0
2019-01-29,07:00,50.0,40.0,40.0,2019-01-29 07:00:00,154.0
2019-02-06,02:00,77.0,38.0,55.594,2019-02-06 02:00:00,187.0
2019-02-10,20:00,76.0,39.2,58.39232000000001,2019-02-10 20:00:00,114.0
2019-02-14,05:00,138.0,33.2,76.05456000000001,2019-02-14 05:00:00,81.0
2019-02-15,11:00,152.0,24.9,47.12075999999999,2019-02-15 11:00:00,30.0
2019-02-16,18:00,241.0,40.6,198.62738000000002,2019-02-16 18:00:00,31.0
2019-02-25,14:00,97.0,30.0,43.65,2019-02-25 14:00:00,212.0
2019-02-28,05:00,37.0,32.2,19.181540000000002,2019-02-28 05:00:00,63.0
2019-02-28,12:00,64.0,34.3,37.647679999999994,2019-02-28 12:00:00,7.0
2019-03-07,21:00,55.0,31.7,27.634475,2019-03-07 21:00:00,177.0
2019-03-10,16:00,58.0,32.3,30.255409999999994,2019-03-10 16:00:00,67.0
2019-03-10,23:00,45.0,32.2,23.3289,2019-03-10 23:00:00,7.0
2019-03-11,18:00,406.0,44.1,394.79643000000004,2019-03-11 18:00:00,19.0
2019-03-17,09:00,58.0,33.6,32.73984,2019-03-17 09:00:00,135.0
2019-03-20,10:00,16.0,42.1,14.17928,2019-03-20 10:00:00,73.0
2019-03-21,13:00,211.0,29.0,88.7255,2019-03-21 13:00:00,27.0
2019-03-24,16:00,3.0,42.3,2.6839349999999995,2019-03-24 16:00:00,75.0
2019-03-25,14:00,63.0,43.2,58.78656,2019-03-25 14:00:00,22.0
2019-03-28,01:00,58.0,37.2,40.13136,2019-03-28 01:00:00,59.0
